source	target	type	confidence
89	90	works_on	0.7
89	1	related_to	0.7
89	10	uses	0.7
90	1	works_on	0.7
90	10	built_with	0.7
1	10	uses	0.7
91	92	related_to	0.7
91	93	related_to	0.7
92	93	related_to	0.7
94	95	related_to	0.7
94	96	related_to	0.7
95	96	related_to	0.7
7	97	related_to	0.7
7	41	built_with	0.7
7	98	provided_by	0.7
41	98	owned_by	0.7
7	106	built_with	0.7
7	107	built_with	0.7
106	107	related_to	0.7
68	109	related_to	0.7
68	110	related_to	0.7
109	110	related_to	0.7
7	76	related_to	0.7
7	108	related_to	0.7
76	108	related_to	0.7
7	3	built_with	0.7
108	3	built_with	0.7
115	116	related_to	0.7
115	19	related_to	0.7
116	19	related_to	0.7
114	115	uses	0.7
114	1	related_to	0.7
114	5	affiliated_with	0.7
115	1	uses	0.7
115	5	provided_by	0.7
1	5	affiliated_with	0.7
113	114	related_to	0.7
7	118	related_to	0.7
119	46	owned_by	0.7
119	0	related_to	0.7
46	0	owned_by	0.7
115	10	related_to	0.7
115	117	related_to	0.7
10	116	related_to	0.7
10	117	related_to	0.7
116	117	related_to	0.7
5	116	provided_by	0.7
5	0	owned_by	0.7
116	0	built_with	0.7
114	10	uses	0.7
114	116	uses	0.7
121	122	related_to	0.7
121	6	provided_by	0.7
122	6	provided_by	0.7
120	1	affiliated_with	0.7
120	121	provided_by	0.7
120	6	related_to	0.7
1	121	uses	0.7
1	6	affiliated_with	0.7
115	120	provided_by	0.7
123	124	owned_by	0.7
126	1	uses	0.7
127	109	built_with	0.7
127	68	built_with	0.7
127	128	built_with	0.7
127	10	built_with	0.7
127	129	built_with	0.7
109	68	related_to	0.7
109	128	related_to	0.7
109	10	related_to	0.7
109	129	related_to	0.7
68	128	related_to	0.7
68	10	related_to	0.7
68	129	related_to	0.7
128	10	related_to	0.7
128	129	related_to	0.7
10	129	related_to	0.7
135	136	owned_by	0.7
135	5	owned_by	0.7
135	19	built_with	0.7
136	5	related_to	0.7
136	19	provided_by	0.7
5	19	provided_by	0.7
137	138	related_to	0.7
139	120	provided_by	0.7
139	1	uses	0.7
120	46	related_to	0.7
46	1	affiliated_with	0.7
139	140	related_to	0.7
139	141	built_with	0.7
139	0	built_with	0.7
140	141	built_with	0.7
140	1	uses	0.7
140	0	built_with	0.7
141	1	works_on	0.7
141	0	related_to	0.7
1	0	works_on	0.7
1	12	affiliated_with	0.7
1	4	works_on	0.7
5	143	provided_by	0.7
5	20	provided_by	0.7
143	20	related_to	0.7
143	19	related_to	0.7
20	19	related_to	0.7
144	145	related_to	0.7
146	11	related_to	0.7
146	68	provided_by	0.7
146	19	provided_by	0.7
11	68	provided_by	0.7
11	19	provided_by	0.7
68	19	related_to	0.7
146	5	related_to	0.7
146	147	provided_by	0.7
5	147	provided_by	0.7
147	19	related_to	0.7
145	148	owned_by	0.7
150	152	provided_by	0.7
150	153	provided_by	0.7
152	153	related_to	0.7
154	145	built_with	0.7
154	19	related_to	0.7
145	19	built_with	0.7
12	5	related_to	0.7
156	157	provided_by	0.7
156	158	owned_by	0.7
156	159	owned_by	0.7
157	158	built_with	0.7
157	159	built_with	0.7
158	159	related_to	0.7
160	161	built_with	0.7
160	40	built_with	0.7
160	19	built_with	0.7
161	40	related_to	0.7
161	19	related_to	0.7
40	19	related_to	0.7
162	163	affiliated_with	0.7
162	164	related_to	0.7
162	68	provided_by	0.7
162	109	provided_by	0.7
162	110	provided_by	0.7
163	164	affiliated_with	0.7
163	68	uses	0.7
163	109	uses	0.7
163	110	uses	0.7
164	68	provided_by	0.7
164	109	provided_by	0.7
